common.communication.softskills.passed;When: <br/>- tone of email/Voice is friendly and personnalised.<br/>- use empathy statements depending/adapting to customer's tone also. <br/>- use magic words, positive affirmations, team-building wording.<br/>- builds confidence with the customer and make them feel confortable and valued.<br/>- acknowledge concern, when appropriate.<br/>- address customer's feelings first, especially if customer's tone shows frustration/irritation /sarcasm/anger, etc.<br/><br/>EXAMPLES / use of expressions like :<br/>enthousiastic, friendly<br/>«Please / Thank You / Excellent / I would be happy to.. / Of course..»                                                                                                                                                             <br/><br/>empathy<br/>«I understand your concern», etc.<br/>«I'm sorry to hear that. I can imagine that must be frustrating for you»,<br/>«I realize this must/can be frustrating for you. Allow me to help turn this situation around. The first thing we need to do is…»<br/>«I understand your concern/issue and I will check here how we can resolve it....»<br/>«I understand your point. The first thing I will do/check for you…» <br/><br/>Address customer’s feelings first (especialy if customer is angry) <br/>«I definitely know that could be frustrating. I can understand how you feel» <br/>«I realise that this situation is difficult, so I will try and find a solution for you»<br/>«I see what you are saying.  Allow me to see how I can help you on this..»<br/>«Thank you for taking the time to write to us.» <b>(email/case)</b>.<br/>«Thank you for your email. We appreciate the opportunity to clarify what has happened.» <b>(email/case)</b>.<br/>«We always appreciate customers who take the time to give us their feedback. I'll pass what you've said onto our management team».<br/><br/>Sense of immediacy<br/>«What I’m currently doing to help you is…» (Phone)
common.communication.softskills.failed;<b>When:</b><br/>- tone of email/voice is indifferent, dry, robotic, «flat», or apathetic.<br/>- email fails to establish a friendly tone and personnalised tone. <br/>- email does not have empathy statements or show understanding towards consumer's issue.<br/>- does not use any / or hardly used magic words, positive affirmations.<br/>- Agent did not address customer's feelings in a way to make him feel valued.<br/>- Agent failed to adapt the response based on Customer Profile (Sunny/Cloudy/Stormy).<br/>- CSS does not make an attempt to make  the customer feel comfortable.<br/>- CSS demonstrates ironic, erratic tone (deviating from the usual or proper course in conduct or opinion).
common.communication.professionalism;Professionalism
common.communication.professionalism.desc;<b>Email:</b><br/>Be Polite.<br/>Respect the choice of words, sentence length, punctuation, and capitalization<br/><br/><b>Phone:</b><br/>Overall behavior during the call. <br/>Attribute reviews if Agent was professional, demonstrating skill, good judgement, and polite behavior.
common.communication.professionalism.passed;Email:<br/>- tone of email is professional, respectful and polite.<br/>- overall punctuation and wording remains professional.<br/>- sentences are without exclamations, and without too much wordiness. <br/>- reply text is witout parenthetical afterthoughts.<br/>- text has <b>«</b>spelled-out» abbreviations and numbers under 10. <br/>- text has words instead of symbols.<br/>- text does not have any unnecessary capitalization. <br/>- there are not any subject-verb agreement errors (e.g., «the time . . . are» should be «the time . . . is»).<br/><br/>Phone:<br/>- Agent behaves professionally during the whole call.<br/>- remains calm under pressure or when stressed by customer.<br/>- Agent responds, not reacts
common.communication.professionalism.failed;Email:<br/>- tone of email is abrupt, unprofessional, too casual, disrespectful or impolite.<br/>- overall punctuation and wording does not remain professional.<br/>- sentences are with exclamations, or too much wordiness. <br/>- reply text is with parenthetical afterthoughts.<br/>- text does not have  «spelled-out» abbreviations and numbers under 10. <br/>- text does not have words instead of symbols.<br/>- text has unnecessary capitalization. <br/>- sentences have missing commas and fullstops, that render the text/sentence hard to understand.<br/>- there are subject-verb agreement errors (e.g., «the time . . . are» should be «the time . . . is»).<br/><br/>Phone:<br/>- Agent is rude or unprofessional in their demeanor.<br/>- Agent is disrespectful, sarcastic and ironic.<br/>- Agent blatantly demonstrates disregard to the customer request.<br/>- does not use restraint and reacts (instead of responding). <br/>- voice gets louder.<br/>- gets defensive or retaliates.
common.communication.structure;Structure / Call Control
common.communication.structure.desc;<b>Email:</b><br/>Thoughtful presentation of email<br/>- Give the right amount of information in the right way so that the reader is able to read message easily, and wants to.<br/><br/>Structure that helps the reader  «scan»<br/>- Keep Message Clear, Brief and Concise.<br/>- Keep sentences short and to the point. <br/>- The body of the email should be direct and informative, and it should contain all pertinent information.<br/>- Take advantage of the power of one-sentence paragraphs.<br/><br/><b>Phone:</b><br/>Being in total control of the call. <br/>Close it within the time frame given/ Making sure all details needed are included.<br/>Control the call by avoid the customer from wondering, while demonstrating a willingness to help.<br/>Take the lead on the call by demonstrating confidence and providing solutions with a positive positioning.
common.communication.structure.passed;<b>Email:</b><br/>- text shows a reader-friendly and clear structure.<br/>- message is kept clear, brief and concise.<br/>- information is conveyed in a clear, precise and comprehensible manner.<br/>- text with «easy-to-scan» chunks: short paragraphs, section headings and bullet points.<br/>- hyperlinks, to avoid sentence clutter.<br/>- each paragaraph conveys a point and connects ideas very well.<br/><br/><b>Phone:</b><br/>- CSS demonstrated call control through pro-active statements and offering solutions that were specific to the customer concern. <br/>- displayed some confidence in providing solutions.<br/>- took the lead in the conversation<br/>- Keeps the dead air to a minimum (2-3 sort dead air instances is ok)<br/>- kept a correct/unified positioning (i.e. as per Salt QooM wordings)<br/>- kept a positive position - Used positive wording and affirmations
common.communication.structure.failed;<b>Email: </b><br/>- text shows a confusing or cluttered structure . <br/>- information is conveyed in a confusing, vague, or hard-to-understand manner.<br/>- text with long paragraphs, withouth bullet points.<br/>- sentences that are choppy or too long to be clear.<br/>- without hyperlinks (causing sentence clutter).<br/>- paragaraphs not connecting ideas smoothly.<br/>- paragraphs are more than three or four-sentence long.<br/><br/><b>Phone:</b><br/>- CSS displayed total lack of confidence through dead air, non-committal expressions (um, oh, uh,huh).<br/>- could not bring the customer back on track . <br/>- showed little confidence<br/>- allowed customer to overpower the call.<br/>- a lot of dead air instances or very long dead air instances throughout the call.<br/>- CSS uses negative wording.<br/>- CSS uses 'generalized justifications» on a issue/a bug.<br/>  (i.e. wording in case of issues due to «bugs»/'system_updates»: «we are building for you»).<br/>- statements like: «due to system...», «due to process...», «due to the company's deccision..» «due to a general issue...»<br/>- insecurity tone: «could be..», «should have...», «probably...» when cusotmer is looking for a solution and a clear answer
inbound.communication.speech;Rate of Speech
inbound.communication.speech.desc;Speak slowly, distinctly, understandably. Without words of foreign origin (anglicism), or technical terms  (jargon). Not interrupting the customer . Adapt to the customers rate of speech
inbound.communication.speech.passed;<b>When:</b><br/>- Agent was very encouraging. <br/>- spoke slowly & clearly.  <br/>- used the customers' name (to establish rapport). -<br/>- Agent did not interrupt the customer.
inbound.communication.speech.failed;<b>When:</b><br/>- Agent was not at all encouraging. <br/>- spoke too fast, or not clear, customer had to ask Agent to repeat. <br/>- did not use the customers name at all. <br/>- interrupted the customer.<br/>- Agent sounds bored, aggresive or indifferent.
inbound.communication.blanks;On hold & blanks
inbound.communication.blanks.desc;Customer is not put on hold for too long, too often or when not needed.<br/>When putting the customer on hold, CSS always ask customer his/her permission and give him/her the reason why.<br/>CSS informs the actions taken and doesn’t leave the customer without any info.
inbound.communication.blanks.passed;<b>When:<br/></b>- CSS did not put the customer on hold unnecessarily, too often or for too long<br/>- always asks his/her permission and explains him/her the reason why<br/>- Keeps the customer informed regarding any amount of time you are not speaking to them when not using Hold (i.e. «I am taking a few seconds to enter some case notes»... etc.)
inbound.communication.blanks.failed;<b>When:<br/></b>- CSS put the customer on hold unnecessarily, too often or for too long<br/>- don’t ask for permission or don't explain to customer why he/she is put on hold<br/>- don't inform the customer about actions taken and leave him/her without any info (silence/blank)
common.sales;CROSS/UPSELL
inbound.sales.opportunity;Opportunity for an offer (sales)
inbound.sales.opportunity.desc;opportunity to suggest available promotions:<br/>- Option (exp: Mobile Security App)<br/>- Renewal<br/>- Acquisition of additional sub<br/>- Salt Home (IF Fiber eligible and for CSRs being entitled to sell Home)
inbound.sales.opportunity.passed;<b>When:</b><br/>- Agent suggests the Option «Mobile Security App»<br/>- Agent takes the opportunity to suggest a contract
inbound.sales.opportunity.failed;<b>When: </b><br/>- no suggestion of Options<br/>- clear opportunity of offer contract, but no suggestion/mention by Agent<br/>- Not applicable in case of EXCEPTIONAL circumstances/situation e.g. customer calls to cancel, ombutscom case opening or similar
inbound.sales.argumentation;Argumentation approach (sales)
inbound.sales.argumentation.desc;Ask questions to guide towards a need for the Product <b>and potential benefit for the customer</b><br/>Ask subjective and dynamic/reactive questions depending on discussion course.<br/><br/>In case of an objection, try to enquiry as to the reasons, to then treat them and respond accordingly / Counter-argumentation.
inbound.sales.argumentation.passed;<b>When:</b><br/>- Agent asks questions to identify the needs/interests of customer.<br/>- open questions (why/how?) / closed questions to get conclusions.<br/>- in case of Objection, Agent asks the reasons why to the customer to respond accordingly.<br/>- Agent made a effort to keep interest / tackle the objection.
inbound.sales.argumentation.failed;<b>When:</b><br/>- discussion was lacking questions or points that would further examine and surface customer's needs.<br/>- Agent did not make any attempt to respond to customer's objection, at all.<br/>- Agent did not make an effort to present a counter-argument<br/>- Agent confimed worng aspects of the product or option
inbound.sales.validation;Offer final Validation (sales)
inbound.sales.validation.desc;Create a CORRECT contract <b>or Option activation</b> as per the guidelines<br/>- in accordance with the subscription/offer/discounts accepted by the customer. Add correct Promo code<br/>- following correct ID-Checker
inbound.sales.validation.passed;<b>When:</b><br/>- Agent asked for final «ok» to validate contract.<br/>- Agent validates correctly the promo/code offered (i.e. App, Contract, etc).<br/>- Agent creates the correct contract, in accordance with all prices/offer/discounts accepted by customer.<br/>- Agent asked for confirmation to create a contract, which was acknowledged and reconfirmed by Customer.<br/>- All agreed discounts are included, as per Salt allowancies and procedures.<br/>- all standard sales practices are respected<br/>- all required ID information was asked by customer, point-by-point (i.e. full name, date of birth, address, ID type+ nr. as per those accepted by Salt, email, User details, etc.)<br/>- no spelling mistakes, or other typos, that will risk confusion or  authentication of given data.
inbound.sales.validation.failed;<b>When:</b><br/>- new contract does not match agreement with/of customer.<br/>- not all agreed discount codes are given.<br/>- Agent issued benefits to the customer outside of Salt's guidelines<br/>- Agent issued a credit for a gain, outside of Salt's guidelines.<br/>- Agent violated standard sales practices.<br/>- Agent does not make a final summary of the order.<br/>- does not ask for final «ok» to validate contract.<br/>- when Agent does not follow-through correctly, the given «ID_checker_speech» script given by Salt.
common.closing;CLOSING
common.closing.closing;Taking leave of 
common.closing.closing.desc;<b>Email:</b><br/>Recap and timelines. Thanks the customer for his loyalty, patience, time taken to contact us<br/>Closing statements.<br/>Review and revise before sending.<br/><br/><b>Phone:</b><br/>Recap and timelines.<br/>CSS asks if customer may have additional/other questions<br/>Thanks the customer for his loyalty, patience, time taken to contact us<br/>Closing statements (Seasonal)<br/><br/>*In case of Contract_closing: <br/>Ensure that CSS briefs customer about what is going happen after the order.
common.closing.closing.passed;Email:<br/>- Agent closed  with a recap of what he would do or has done (wherever necessary / if complex issue). <br/>(i.e. «I will mail you the sim card. You should receive it XYZ business days»).<br/>- Agent provided support for any more help via hotline or other.<br/>- Agent closed the email with a professional closing statement (i.e. «Best regards», etc..)<br/>- Agent used correct signature.<br/>- Agent proofread the overall email before sending to self-edit and doublechecked for any minor spelling mistakes.<br/><br/>Phone:<br/>- CSS provides closing script <br/>- CSS gave the required brief in case of contract_closing.<br/>- CSS quickly recaps <br/>(summarising previous points, in case of many topics discussed, or by mentionning the pre-set RDV/callback).<br/>- CSS asks if customer may have additional/other questions<br/>- CSS makes a positive comment on customer's choice (if conclude to an order).<br/>- CSS thanks the customer for his/her loyalty, patience, taking the time to contact us. Avoid «thanks for your call»<br/>- fairwell greeting and smooth end of call.
common.closing.closing.failed;<b>Email: </b><br/>- Agent did not make a recap of next actions to follow (wherever necessary / if complex issue). <br/>- Agent did not offer support for any more help via hotline or other.<br/>- Agent did not use a professional closing statement to close the email (i.e. «Best regards», etc..)<br/>- Agent used wrong signature.<br/>- Agent did not proofread before sending, and so missed correcting minor spelling mistakes, punctuation or other minor typo's.<br/><br/><b>Phone:</b><br/>- closing script was not followed<br/>- in case of contract_closing: when CSS missed informing the customer what will happen after the order.<br/>- call ending was abrupt (from CSS's side)<br/>- CSS did not thank customer for their loyalty, patience or taking the time to contact us<br/>- CSS did not ask if «other questions»
case.closing.processingtime;Processing time
case.closing.processingtime.desc;The processing time to resolve and close the ticket is within the time limit
case.closing.processingtime.passed;AHT spent on the ticket is compliant
case.closing.processingtime.failed;AHT spent on the ticket is not compliant (too short / too long)
;
;
;
;
;
;
;
;
;
;
;
;
;
